种子关键词：图片,,,,,,,,,,,,,,,,,,
 竞争关键词：做法,,,, 竞争关键词：句子,,,,竞争关键词：视频,,,,竞争关键词：头像,,,,竞争关键词：下载,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,40.00%,12,,1,30.00%,9,,1,10.00%,3,,1,0.00%,0,,1,10.00%,3
2,30.00%,9,,2,30.00%,9,,2,10.00%,3,,2,0.00%,0,,2,0.00%,0
3,20.00%,6,,3,10.00%,3,,3,20.00%,6,,3,10.00%,3,,3,10.00%,3
4,0.00%,0,,4,10.00%,3,,4,30.00%,9,,4,50.00%,15,,4,60.00%,18
5,10.00%,3,,5,20.00%,6,,5,30.00%,9,,5,40.00%,12,,5,20.00%,6
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,2.1,,竞争度,,2.6,,竞争度,,3.6,,竞争度,,4.3,,竞争度,,3.8
,,,,,,,,,,,,,,,,,,
种子关键词：手机,,,,,,,,,,,,,,,,,,
竞争关键词：TXT,,,,竞争关键词：苹果,,,,竞争关键词：头像,,,, 竞争关键词：荣耀,,,,竞争关键词：高清,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,20.00%,6,,1,0.00%,0,,1,40.00%,12,,1,0.00%,0,,1,0.00%,0
2,10.00%,3,,2,0.00%,0,,2,20.00%,6,,2,0.00%,0,,2,10.00%,3
3,50.00%,15,,3,50.00%,15,,3,30.00%,9,,3,30.00%,9,,3,20.00%,6
4,10.00%,3,,4,20.00%,6,,4,10.00%,3,,4,30.00%,9,,4,40.00%,12
5,10.00%,3,,5,30.00%,9,,5,0.00%,0,,5,40.00%,12,,5,30.00%,9
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,2.8,,竞争度,,3.8,,竞争度,,2.1,,竞争度,,4.1,,竞争度,,3.9
,,,,,,,,,,,,,,,,,,
种子关键字：小说,,,,,,,,,,,,,,,,,,
竞争关键词：全文,,,,竞争关键词：女主角,,,,竞争关键词：穿越火线,,,, 竞争关键词：TXT,,,,竞争关键词：耽美,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,10.00%,3,,1,0.00%,0,,1,10.00%,3,,1,0.00%,0,,1,20.00%,6
2,0.00%,0,,2,20.00%,6,,2,40.00%,12,,2,0.00%,0,,2,20.00%,6
3,20.00%,6,,3,20.00%,6,,3,20.00%,6,,3,0.00%,0,,3,10.00%,3
4,50.00%,15,,4,20.00%,6,,4,10.00%,3,,4,80.00%,24,,4,40.00%,12
5,20.00%,6,,5,40.00%,12,,5,20.00%,6,,5,20.00%,6,,5,10.00%,3
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,3.7,,竞争度,,3.8,,竞争度,,2.9,,竞争度,,4.2,,竞争度,,3
,,,,,,,,,,,,,,,,,,
种子关键字：视频,,,,,,,,,,,,,,,,,,
竞争关键字：在线,,,,竞争关键字：观看,,,,竞争关键字：图片,,,,竞争关键字：设计,,,, 竞争关键字：大全,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,0.00%,0,,1,0.00%,0,,1,10.00%,3,,1,10.00%,3,,1,40.00%,12
2,0.00%,0,,2,0.00%,0,,2,0.00%,0,,2,50.00%,15,,2,10.00%,3
3,50.00%,15,,3,10.00%,3,,3,40.00%,12,,3,20.00%,6,,3,30.00%,9
4,30.00%,6,,4,70.00%,21,,4,10.00%,3,,4,20.00%,6,,4,20.00%,6
5,20.00%,6,,5,20.00%,6,,5,40.00%,12,,5,0.00%,0,,5,0.00%,0
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,3.7,,竞争度,,4.1,,竞争度,,3.7,,竞争度,,2.5,,竞争度,,2.3
,,,,,,,,,,,,,,,,,,
种子关键字：下载,,,,,,,,,,,,,,,,,,
26. 竞争关键字：重生,,,,27. 竞争关键字：百度云,,,,28. 竞争关键字：阅读,,,,29. 竞争关键字：电视剧,,,,30. 竞争关键字：QQ,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,40.00%,12,,1,0.00%,0,,1,10.00%,3,,1,0.00%,0,,1,10.00%,3
2,30.00%,9,,2,0.00%,0,,2,10.00%,3,,2,0.00%,0,,2,0.00%,0
3,20.00%,6,,3,30.00%,9,,3,20.00%,6,,3,50.00%,15,,3,50.00%,15
4,10.00%,3,,4,30.00%,9,,4,40.00%,12,,4,20.00%,6,,4,10.00%,3
5,0.00%,0,,5,40.00%,12,,5,20.00%,6,,5,30.00%,9,,5,30.00%,9
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,2,,竞争度,,4.1,,竞争度,,3.5,,竞争度,,3.8,,竞争度,,3.5
,,,,,,,,,,,,,,,,,,
种子关键字：QQ,,,,,,,,,,,,,,,,,,
32. 竞争关键字：侠盗,,,,33. 竞争关键字：女生,,,,34. 竞争关键字：重生,,,,35. 竞争关键字：查询,,,,36. 竞争关键字：下载,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,0.00%,0,,1,20.00%,6,,1,30.00%,9,,1,10.00%,3,,1,20.00%,6
2,40.00%,12,,2,10.00%,3,,2,30.00%,9,,2,20.00%,6,,2,0.00%,0
3,30.00%,9,,3,60.00%,18,,3,30.00%,9,,3,50.00%,15,,3,30.00%,9
4,10.00%,3,,4,10.00%,3,,4,10.00%,3,,4,10.00%,3,,4,30.00%,9
5,20.00%,6,,5,0.00%,0,,5,0.00%,0,,5,10.00%,3,,5,20.00%,6
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,3.1,,竞争度,,2.6,,竞争度,,2.2,,竞争度,,2.9,,竞争度,,3.3
,,,,,,,,,,,,,,,,,,
种子关键字：电影,,,,,,,,,,,,,,,,,,
38. 竞争关键字：在线,,,,39. 竞争关键字：观看,,,,40. 竞争关键字：官网,,,,41. 竞争关键字：图片,,,,42. 竞争关键字：下载,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,10.00%,3,,1,0.00%,0,,1,30.00%,9,,1,0.00%,0,,1,10.00%,3
2,0.00%,0,,2,0.00%,0,,2,0.00%,0,,2,0.00%,0,,2,0.00%,0
3,30.00%,9,,3,30.00%,9,,3,70.00%,21,,3,80.00%,24,,3,10.00%,3
4,40.00%,12,,4,30.00%,9,,4,0.00%,0,,4,10.00%,3,,4,50.00%,15
5,20.00%,6,,5,40.00%,12,,5,0.00%,0,,5,10.00%,3,,5,30.00%,9
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,3.6,,竞争度,,4.1,,竞争度,,2.4,,竞争度,,3.3,,竞争度,,3.9
,,,,,,,,,,,,,,,,,,
种子关键字：百度,,,,,,,,,,,,,,,,,,
44. 竞争关键词：青云志,,,,45. 竞争关键词：贴吧,,,,46. 竞争关键词：人力,,,,47. 竞争关键词：360云盘,,,,48. 竞争关键词：TXT,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,30.00%,9,,1,0.00%,0,,1,0.00%,0,,1,0.00%,0,,1,10.00%,3
2,50.00%,15,,2,0.00%,0,,2,30.00%,9,,2,20.00%,6,,2,30.00%,9
3,10.00%,3,,3,40.00%,12,,3,70.00%,21,,3,30.00%,9,,3,30.00%,9
4,10.00%,3,,4,40.00%,12,,4,0.00%,0,,4,30.00%,9,,4,20.00%,6
5,0.00%,0,,5,20.00%,6,,5,0.00%,0,,5,20.00%,6,,5,10.00%,3
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,2,,竞争度,,3.8,,竞争度,,2.7,,竞争度,,3.5,,竞争度,,2.9
,,,,,,,,,,,,,,,,,,
种子关键字：英语,,,,,,,,,,,,,,,,,,
50. 竞争关键词：英文单词,,,,51. 竞争关键词：语文,,,,52. 竞争关键词：字,,,,53. 竞争关键词：阅读,,,,54. 竞争关键词：翻译,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,0.00%,0,,1,10.00%,3,,1,10.00%,3,,1,10.00%,3,,1,10.00%,3
2,10.00%,3,,2,20.00%,6,,2,30.00%,9,,2,0.00%,0,,2,0.00%,0
3,20.00%,6,,3,20.00%,6,,3,30.00%,9,,3,40.00%,12,,3,10.00%,3
4,40.00%,12,,4,30.00%,9,,4,10.00%,3,,4,30.00%,9,,4,60.00%,18
5,30.00%,9,,5,20.00%,6,,5,20.00%,6,,5,20.00%,6,,5,20.00%,6
有效填写量,,30,,有效填写量,,10,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,3.9,,竞争度,,3.3,,竞争度,,3,,竞争度,,3.5,,竞争度,,3.8
,,,,,,,,,,,,,,,,,,
种子关键字：游戏,,,,,,,,,,,,,,,,,,
56. 竞争关键词：单机版,,,,57. 竞争关键词：TXT,,,,58. 竞争关键词：图片,,,,59. 竞争关键词：地方,,,,60. 竞争关键词：QQ,,
选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计,,选项,百分比%,小计
1,10.00%,3,,1,30.00%,9,,1,0.00%,0,,1,20.00%,6,,1,0.00%,0
2,0.00%,0,,2,20.00%,6,,2,20.00%,6,,2,40.00%,12,,2,10.00%,3
3,40.00%,12,,3,50.00%,15,,3,40.00%,12,,3,30.00%,9,,3,20.00%,6
4,30.00%,9,,4,0.00%,0,,4,30.00%,9,,4,10.00%,3,,4,30.00%,9
5,20.00%,6,,5,0.00%,0,,5,10.00%,3,,5,0.00%,0,,5,40.00%,12
有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30,,有效填写量,,30
竞争度,,3.5,,竞争度,,2.2,,竞争度,,3.3,,竞争度,,2.3,,竞争度,,4
